序号,问题,答案,标准名称,标准编号,问答类型,适配路径,来源记录ID,来源链接,复核状态
294,标准《水稻水直播生产技术规程》的编号是什么？,该标准的编号为DB23/T 2755—2020。,水稻水直播生产技术规程,DB23/T 2755—2020,事实型问答,GraphRAG-MCP快路径,standard_4fd16cd5cd16f47f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B70A90F148B32FA4E05397BE0A0A0A87,机器构建后待人工复核
295,标准《水稻钵育移栽全程机械化技术规程》的编号是什么？,该标准的编号为DB23/T 2783—2021。,水稻钵育移栽全程机械化技术规程,DB23/T 2783—2021,事实型问答,GraphRAG-MCP快路径,standard_abd638a34920d8b9,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B822DEC153322645E05397BE0A0AF51D,机器构建后待人工复核
296,标准《三江平原水稻智能机械化生产技术规程》的编号是什么？,该标准的编号为DB23/T 2784—2021。,三江平原水稻智能机械化生产技术规程,DB23/T 2784—2021,事实型问答,GraphRAG-MCP快路径,standard_8638a898561793b5,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B822DEC153332645E05397BE0A0AF51D,机器构建后待人工复核
297,标准《白浆土水稻田生物炭应用技术规程》的编号是什么？,该标准的编号为DB23/T 2852—2021。,白浆土水稻田生物炭应用技术规程,DB23/T 2852—2021,事实型问答,GraphRAG-MCP快路径,standard_db93da834c51e259,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C44FC0D26CF4D4E2E05397BE0A0A8892,机器构建后待人工复核
298,标准《盐碱地水稻田生物炭应用技术规程》的编号是什么？,该标准的编号为DB23/T 2862—2021。,盐碱地水稻田生物炭应用技术规程,DB23/T 2862—2021,事实型问答,GraphRAG-MCP快路径,standard_0ee5aace50a21264,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C44FC0D26CFED4E2E05397BE0A0A8892,机器构建后待人工复核
299,标准《植保无人飞机水稻精准施药技术规程》的编号是什么？,该标准的编号为DB23/T 2949—2021。,植保无人飞机水稻精准施药技术规程,DB23/T 2949—2021,事实型问答,GraphRAG-MCP快路径,standard_81bcb178a25b0121,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C94172B11D713A07E05397BE0A0A866C,机器构建后待人工复核
300,标准《第二积温带水稻灌溉技术操作规程》的编号是什么？,该标准的编号为DB23/T 3002—2021。,第二积温带水稻灌溉技术操作规程,DB23/T 3002—2021,事实型问答,GraphRAG-MCP快路径,standard_1f971bcfaab9a92d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D0DE539B302F3FC7E05397BE0A0A2782,机器构建后待人工复核
301,标准《水稻钴60γ射线辐照诱变育种技术规程》的编号是什么？,该标准的编号为DB23/T 3007—2021。,水稻钴60γ射线辐照诱变育种技术规程,DB23/T 3007—2021,事实型问答,GraphRAG-MCP快路径,standard_dc91406519fa15aa,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D0DE539B30343FC7E05397BE0A0A2782,机器构建后待人工复核
302,标准《水稻种质资源评价与保存技术规程》的编号是什么？,该标准的编号为DB23/T 3008—2021。,水稻种质资源评价与保存技术规程,DB23/T 3008—2021,事实型问答,GraphRAG-MCP快路径,standard_842bb553b61e986a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D0DE539B30353FC7E05397BE0A0A2782,机器构建后待人工复核
303,标准《旱晚播水稻稻瘟病活体接种抗病性鉴定技术规程》的编号是什么？,该标准的编号为DB23/T 3078—2022。,旱晚播水稻稻瘟病活体接种抗病性鉴定技术规程,DB23/T 3078—2022,事实型问答,GraphRAG-MCP快路径,standard_dbc252ec09c1abdf,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D8C08DEAD3CC5BDCE05397BE0A0A9D9B,机器构建后待人工复核
304,标准《水稻稻瘟病抗谱鉴定技术规程》的编号是什么？,该标准的编号为DB23/T 3096—2022。,水稻稻瘟病抗谱鉴定技术规程,DB23/T 3096—2022,事实型问答,GraphRAG-MCP快路径,standard_211492ae249c0a90,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D8C08DEAD3DE5BDCE05397BE0A0A9D9B,机器构建后待人工复核
305,标准《水稻加工+工业企业循环经济管理通则》的编号是什么？,该标准的编号为DB23/T 3097—2022。,水稻加工+工业企业循环经济管理通则,DB23/T 3097—2022,事实型问答,GraphRAG-MCP快路径,standard_e5e6f6bc00312be1,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D8C08DEAD3DF5BDCE05397BE0A0A9D9B,机器构建后待人工复核
306,标准《盐碱地水稻半水浸浮板育苗技术规程》的编号是什么？,该标准的编号为DB23/T 3103—2022。,盐碱地水稻半水浸浮板育苗技术规程,DB23/T 3103—2022,事实型问答,GraphRAG-MCP快路径,standard_e626fbb36cc19431,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D8C08DEAD3E55BDCE05397BE0A0A9D9B,机器构建后待人工复核
307,标准《水稻育秧棚后茬木耳菜栽培技术规程》的编号是什么？,该标准的编号为DB23/T 3136—2022。,水稻育秧棚后茬木耳菜栽培技术规程,DB23/T 3136—2022,事实型问答,GraphRAG-MCP快路径,standard_9938c18bf6552b41,https://std.samr.gov.cn/db/search/stdDBDetailed?id=DA3D55293D7B318BE05397BE0A0AC88B,机器构建后待人工复核
308,标准《寒地水稻倒伏灾害遥感评估技术规程》的编号是什么？,该标准的编号为DB23/T 3151—2022。,寒地水稻倒伏灾害遥感评估技术规程,DB23/T 3151—2022,事实型问答,GraphRAG-MCP快路径,standard_3eab9cbdde69090e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=DA3D55293D8A318BE05397BE0A0AC88B,机器构建后待人工复核
309,标准《水稻秸秆还田原茬搅浆整地技术规范》的编号是什么？,该标准的编号为DB23/T 3160—2022。,水稻秸秆还田原茬搅浆整地技术规范,DB23/T 3160—2022,事实型问答,GraphRAG-MCP快路径,standard_5b579b7273a9dfba,https://std.samr.gov.cn/db/search/stdDBDetailed?id=DEDEE7167A1EEA53E05397BE0A0A496F,机器构建后待人工复核
310,标准《水稻秸秆还田调肥密植栽培技术规程》的编号是什么？,该标准的编号为DB23/T 3221—2022。,水稻秸秆还田调肥密植栽培技术规程,DB23/T 3221—2022,事实型问答,GraphRAG-MCP快路径,standard_7d54dc11f9053b86,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E071608DED8D12F1E05397BE0A0A2299,机器构建后待人工复核
311,标准《水稻耐盐碱性大田鉴定技术规程》的编号是什么？,该标准的编号为DB23/T 3222—2022。,水稻耐盐碱性大田鉴定技术规程,DB23/T 3222—2022,事实型问答,GraphRAG-MCP快路径,standard_64d941b55cb7e253,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E071608DED8E12F1E05397BE0A0A2299,机器构建后待人工复核
312,标准《轻度盐碱地水稻旱直播栽培技术规程》的编号是什么？,该标准的编号为DB23/T 3223—2022。,轻度盐碱地水稻旱直播栽培技术规程,DB23/T 3223—2022,事实型问答,GraphRAG-MCP快路径,standard_e709e903f5d7904e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E071608DED8F12F1E05397BE0A0A2299,机器构建后待人工复核
313,标准《轻度盐碱地水稻水直播栽培技术规程》的编号是什么？,该标准的编号为DB23/T 3224—2022。,轻度盐碱地水稻水直播栽培技术规程,DB23/T 3224—2022,事实型问答,GraphRAG-MCP快路径,standard_7331b9a490a7e4ae,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E071608DED9012F1E05397BE0A0A2299,机器构建后待人工复核
314,标准《基于无人机多光谱影像的水稻叶瘟病病情诊断技术规程》的编号是什么？,该标准的编号为DB23/T 3229—2022。,基于无人机多光谱影像的水稻叶瘟病病情诊断技术规程,DB23/T 3229—2022,事实型问答,GraphRAG-MCP快路径,standard_6e409bd30f60255d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E071608DED9512F1E05397BE0A0A2299,机器构建后待人工复核
315,标准《水稻基质育苗规程》的编号是什么？,该标准的编号为DB23/T 3269—2022。,水稻基质育苗规程,DB23/T 3269—2022,事实型问答,GraphRAG-MCP快路径,standard_97997e5dc8be6ce3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E539C939F44575C3E05397BE0A0AA651,机器构建后待人工复核
316,标准《寒地水稻低温阴雨寡照抗逆减灾技术规程》的编号是什么？,该标准的编号为DB23/T 3270—2022。,寒地水稻低温阴雨寡照抗逆减灾技术规程,DB23/T 3270—2022,事实型问答,GraphRAG-MCP快路径,standard_4f16f1d795800e98,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E539C939F44675C3E05397BE0A0AA651,机器构建后待人工复核
317,标准《水稻品种抗瘟性田间监测圃设置技术规程》的编号是什么？,该标准的编号为DB23/T 3361—2022。,水稻品种抗瘟性田间监测圃设置技术规程,DB23/T 3361—2022,事实型问答,GraphRAG-MCP快路径,standard_1a59d51483017583,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EFC8CAE26DCA9C04E05397BE0A0AC0BE,机器构建后待人工复核
318,标准《水稻育秧棚栽培食用穿心莲技术规程》的编号是什么？,该标准的编号为DB23/T 3445—2023。,水稻育秧棚栽培食用穿心莲技术规程,DB23/T 3445—2023,事实型问答,GraphRAG-MCP快路径,standard_9b0ae54d686f9b15,https://std.samr.gov.cn/db/search/stdDBDetailed?id=020006B60445C724E06397BE0A0A4179,机器构建后待人工复核
319,标准《寒地水稻优质种质资源筛选技术规程》的编号是什么？,该标准的编号为DB23/T 3459—2023。,寒地水稻优质种质资源筛选技术规程,DB23/T 3459—2023,事实型问答,GraphRAG-MCP快路径,standard_d1f5e3de704ff802,https://std.samr.gov.cn/db/search/stdDBDetailed?id=020006B60454C724E06397BE0A0A4179,机器构建后待人工复核
320,标准《寒地水稻节水栽培技术规程》的编号是什么？,该标准的编号为DB23/T 3460—2023。,寒地水稻节水栽培技术规程,DB23/T 3460—2023,事实型问答,GraphRAG-MCP快路径,standard_fccb476fd3004bc7,https://std.samr.gov.cn/db/search/stdDBDetailed?id=020006B60455C724E06397BE0A0A4179,机器构建后待人工复核
321,标准《水稻双氧快速浸种催芽技术规程》的编号是什么？,该标准的编号为DB23/T 3497—2023。,水稻双氧快速浸种催芽技术规程,DB23/T 3497—2023,事实型问答,GraphRAG-MCP快路径,standard_5a76b85e0105ca2d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=020006B6046CC724E06397BE0A0A4179,机器构建后待人工复核
322,标准《寒地水稻纹枯病抗性评价技术规范》的编号是什么？,该标准的编号为DB23/T 3498—2023。,寒地水稻纹枯病抗性评价技术规范,DB23/T 3498—2023,事实型问答,GraphRAG-MCP快路径,standard_f947d7619280ff00,https://std.samr.gov.cn/db/search/stdDBDetailed?id=020006B6046DC724E06397BE0A0A4179,机器构建后待人工复核
323,标准《水稻耐盐碱性鉴定技术规程》的编号是什么？,该标准的编号为DB23/T 3534—2023。,水稻耐盐碱性鉴定技术规程,DB23/T 3534—2023,事实型问答,GraphRAG-MCP快路径,standard_e3df203274e33810,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0201987C77D1494EE06397BE0A0ABE85,机器构建后待人工复核
324,标准《水稻育秧棚朝天椒栽培》的编号是什么？,该标准的编号为DB23/T 3569—2023。,水稻育秧棚朝天椒栽培,DB23/T 3569—2023,事实型问答,GraphRAG-MCP快路径,standard_0ceaa1c20603d61f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=055C4E61BAEE1230E06397BE0A0AB68F,机器构建后待人工复核
325,标准《水稻种子工厂化催芽操作技术规程》的编号是什么？,该标准的编号为DB23/T 3571—2023。,水稻种子工厂化催芽操作技术规程,DB23/T 3571—2023,事实型问答,GraphRAG-MCP快路径,standard_0807055277700451,https://std.samr.gov.cn/db/search/stdDBDetailed?id=055C4E61BAF01230E06397BE0A0AB68F,机器构建后待人工复核
326,标准《水稻覆膜节水减排种植技术规程》的编号是什么？,该标准的编号为DB23/T 3579—2023。,水稻覆膜节水减排种植技术规程,DB23/T 3579—2023,事实型问答,GraphRAG-MCP快路径,standard_e21f531b4880d355,https://std.samr.gov.cn/db/search/stdDBDetailed?id=055C4E61BAF81230E06397BE0A0AB68F,机器构建后待人工复核
327,标准《寒地水稻抗倒伏生产技术规程》的编号是什么？,该标准的编号为DB23/T 3581—2023。,寒地水稻抗倒伏生产技术规程,DB23/T 3581—2023,事实型问答,GraphRAG-MCP快路径,standard_2b66b5d93398a378,https://std.samr.gov.cn/db/search/stdDBDetailed?id=055C4E61BAFA1230E06397BE0A0AB68F,机器构建后待人工复核
328,标准《水稻土地力等级划分与培肥技术规程》的编号是什么？,该标准的编号为DB23/T 3668—2023。,水稻土地力等级划分与培肥技术规程,DB23/T 3668—2023,事实型问答,GraphRAG-MCP快路径,standard_9c3c76d1fb3e08e2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=108717D7477FA999E06397BE0A0AB153,机器构建后待人工复核
329,标准《早熟水稻秸秆裹包青贮技术规程》的编号是什么？,该标准的编号为DB23/T 3672—2023。,早熟水稻秸秆裹包青贮技术规程,DB23/T 3672—2023,事实型问答,GraphRAG-MCP快路径,standard_7fd511c844bb1ba4,https://std.samr.gov.cn/db/search/stdDBDetailed?id=108717D74783A999E06397BE0A0AB153,机器构建后待人工复核
330,标准《水稻立体育秧智慧工厂智能环境控制技术规范》的编号是什么？,该标准的编号为DB23/T 3758—2024。,水稻立体育秧智慧工厂智能环境控制技术规范,DB23/T 3758—2024,事实型问答,GraphRAG-MCP快路径,standard_deca2c56b4b989d0,https://std.samr.gov.cn/db/search/stdDBDetailed?id=22EEA7B4C3B11E6AE06397BE0A0AB7DC,机器构建后待人工复核
331,标准《寒地盐碱地水稻优质丰产栽培技术规程》的编号是什么？,该标准的编号为DB23/T 3775—2024。,寒地盐碱地水稻优质丰产栽培技术规程,DB23/T 3775—2024,事实型问答,GraphRAG-MCP快路径,standard_8a6692e952b24cfb,https://std.samr.gov.cn/db/search/stdDBDetailed?id=22EEA7B4C3C21E6AE06397BE0A0AB7DC,机器构建后待人工复核
332,标准《寒地水稻秸秆还田稻米品质调控丰产栽培技术规程》的编号是什么？,该标准的编号为DB23/T 3776—2024。,寒地水稻秸秆还田稻米品质调控丰产栽培技术规程,DB23/T 3776—2024,事实型问答,GraphRAG-MCP快路径,standard_1cd38c95e95b0bfe,https://std.samr.gov.cn/db/search/stdDBDetailed?id=22EEA7B4C3C31E6AE06397BE0A0AB7DC,机器构建后待人工复核
333,标准《寒地水稻耐低温减灾保产优质栽培技术规程》的编号是什么？,该标准的编号为DB23/T 3777—2024。,寒地水稻耐低温减灾保产优质栽培技术规程,DB23/T 3777—2024,事实型问答,GraphRAG-MCP快路径,standard_e3f1d21d83dff6dc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=22EEA7B4C3C41E6AE06397BE0A0AB7DC,机器构建后待人工复核
334,标准《利用人工控制设备鉴定水稻耐冷性技术规程》的编号是什么？,该标准的编号为DB23/T 3781—2024。,利用人工控制设备鉴定水稻耐冷性技术规程,DB23/T 3781—2024,事实型问答,GraphRAG-MCP快路径,standard_c6186ba1b415f728,https://std.samr.gov.cn/db/search/stdDBDetailed?id=22EEA7B4C3C81E6AE06397BE0A0AB7DC,机器构建后待人工复核
335,标准《水稻丸粒化种子无人机水直播技术规程》的编号是什么？,该标准的编号为DB23/T 3898—2024。,水稻丸粒化种子无人机水直播技术规程,DB23/T 3898—2024,事实型问答,GraphRAG-MCP快路径,standard_bfc6005241547371,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2EEF8B5F7B24BD25E06397BE0A0A9066,机器构建后待人工复核
336,标准《无人机多光谱水稻氮素含量测定与追肥调控技术规程》的编号是什么？,该标准的编号为DB23/T 3901—2024。,无人机多光谱水稻氮素含量测定与追肥调控技术规程,DB23/T 3901—2024,事实型问答,GraphRAG-MCP快路径,standard_52cf2c7e60ba0110,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2EEF8B5F7B27BD25E06397BE0A0A9066,机器构建后待人工复核
337,标准《寒地水稻气候智慧型生产技术规程》的编号是什么？,该标准的编号为DB23/T 3948—2025。,寒地水稻气候智慧型生产技术规程,DB23/T 3948—2025,事实型问答,GraphRAG-MCP快路径,standard_e53d8d29f61c8192,https://std.samr.gov.cn/db/search/stdDBDetailed?id=40B62860B36E6C54E06397BE0A0A8A06,机器构建后待人工复核
338,标准《水稻超稀植生产技术规程》的编号是什么？,该标准的编号为DB23/T 690-2000。,水稻超稀植生产技术规程,DB23/T 690-2000,事实型问答,GraphRAG-MCP快路径,standard_a00ca3e1bf67aef6,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DA4252E24E05397BE0A0A3A10,机器构建后待人工复核
339,标准《水稻灌溉技术规程》的编号是什么？,该标准的编号为DB23/T 908-2005。,水稻灌溉技术规程,DB23/T 908-2005,事实型问答,GraphRAG-MCP快路径,standard_9d7634e249733f16,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D49882E24E05397BE0A0A3A10,机器构建后待人工复核
340,标准《有机食品水稻生产技术操作规程》的编号是什么？,该标准的编号为DB23/T 939-2005。,有机食品水稻生产技术操作规程,DB23/T 939-2005,事实型问答,GraphRAG-MCP快路径,standard_ca3fb32da44f7ce6,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DBCAA2E24E05397BE0A0A3A10,机器构建后待人工复核
341,标准《有机食品 水稻生产技术操作规程》的编号是什么？,该标准的编号为DB23/T 939-2016。,有机食品 水稻生产技术操作规程,DB23/T 939-2016,事实型问答,GraphRAG-MCP快路径,standard_5b8ae1364c7e9f2c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7DA22E24E05397BE0A0A3A10,机器构建后待人工复核
342,标准《白浆土水稻秸秆全量还田氮肥施用技术规程》的编号是什么？,该标准的编号为DB23/T2506—2019。,白浆土水稻秸秆全量还田氮肥施用技术规程,DB23/T2506—2019,事实型问答,GraphRAG-MCP快路径,standard_efa44c6946ebc600,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9A5BB811ED2D3E9DE05397BE0A0AA9A0,机器构建后待人工复核
343,标准《寒地水稻常发性病虫害轻简化综合防控技术规程》的编号是什么？,该标准的编号为DB2301/T 154-2024。,寒地水稻常发性病虫害轻简化综合防控技术规程,DB2301/T 154-2024,事实型问答,GraphRAG-MCP快路径,standard_6ed5f677c07be2e4,https://std.samr.gov.cn/db/search/stdDBDetailed?id=139A26F466F66AB1E06397BE0A0A40A5,机器构建后待人工复核
344,标准《水稻秸秆还田抗倒伏栽培技术规程》的编号是什么？,该标准的编号为DB2301/T 190-2024。,水稻秸秆还田抗倒伏栽培技术规程,DB2301/T 190-2024,事实型问答,GraphRAG-MCP快路径,standard_258fabe969d026b8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2A7AEBB3E3BA8461E06397BE0A0AB9FE,机器构建后待人工复核
345,标准《水稻育秧棚二茬复种薄皮甜瓜栽培技术规程》的编号是什么？,该标准的编号为DB2301/T 199-2024。,水稻育秧棚二茬复种薄皮甜瓜栽培技术规程,DB2301/T 199-2024,事实型问答,GraphRAG-MCP快路径,standard_2d9e3d079fb86218,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2D9B4A622FD24EAFE06397BE0A0AD5C2,机器构建后待人工复核
346,标准《寒地水稻播前栽培方案优化设计规范》的编号是什么？,该标准的编号为DB2301/T 71-2020。,寒地水稻播前栽培方案优化设计规范,DB2301/T 71-2020,事实型问答,GraphRAG-MCP快路径,standard_e4448a7bc3b148a8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B4445BE4880E380DE05397BE0A0ADE3A,机器构建后待人工复核
347,标准《半干旱区水稻旱穴直播栽培技术规程》的编号是什么？,该标准的编号为DB2302/T 024-2022。,半干旱区水稻旱穴直播栽培技术规程,DB2302/T 024-2022,事实型问答,GraphRAG-MCP快路径,standard_4bc7070a89874623,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E4C613695D32E3B6E05397BE0A0A1335,机器构建后待人工复核
348,标准《水稻绿色优质高产栽培技术规程》的编号是什么？,该标准的编号为DB2302/T 058-2023。,水稻绿色优质高产栽培技术规程,DB2302/T 058-2023,事实型问答,GraphRAG-MCP快路径,standard_d3cc35db54f1169d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0A295F8B32122F40E06397BE0A0A03B5,机器构建后待人工复核
349,标准《齐齐哈尔市水稻秸秆还田技术规程》的编号是什么？,该标准的编号为DB2302/T 069-2023。,齐齐哈尔市水稻秸秆还田技术规程,DB2302/T 069-2023,事实型问答,GraphRAG-MCP快路径,standard_58e49f49e55a27c7,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0BBF400C8BD0EFCDE06397BE0A0A354C,机器构建后待人工复核
350,标准《水稻基质板育苗技术规程》的编号是什么？,该标准的编号为DB2304/ T 066-2022。,水稻基质板育苗技术规程,DB2304/ T 066-2022,事实型问答,GraphRAG-MCP快路径,standard_f2c04e4d1732d487,https://std.samr.gov.cn/db/search/stdDBDetailed?id=ED7DEA53BB9402ABE05397BE0A0A7E4E,机器构建后待人工复核
351,标准《水稻生产机械化作业技术规程》的编号是什么？,该标准的编号为DB2304/T 063-2021。,水稻生产机械化作业技术规程,DB2304/T 063-2021,事实型问答,GraphRAG-MCP快路径,standard_27bfff736e9c5e0e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=CB86C21B52D2577DE05397BE0A0A8A12,机器构建后待人工复核
352,标准《水稻智能化工厂育秧技术规程》的编号是什么？,该标准的编号为DB2304/T 072-2024。,水稻智能化工厂育秧技术规程,DB2304/T 072-2024,事实型问答,GraphRAG-MCP快路径,standard_7368ea2b6ad3f941,https://std.samr.gov.cn/db/search/stdDBDetailed?id=21E40C1AE92BC96DE06397BE0A0A8719,机器构建后待人工复核
353,标准《寒地水稻密苗育秧技术规程》的编号是什么？,该标准的编号为DB2305/T 028-2024。,寒地水稻密苗育秧技术规程,DB2305/T 028-2024,事实型问答,GraphRAG-MCP快路径,standard_57d7fdebea9391e2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2141F78DA8785BF0E06397BE0A0A2720,机器构建后待人工复核
354,标准《水稻种质对纹枯病抗性评价技术规程》的编号是什么？,该标准的编号为DB2305/T 038-2024。,水稻种质对纹枯病抗性评价技术规程,DB2305/T 038-2024,事实型问答,GraphRAG-MCP快路径,standard_31155bc46029e6cf,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2141F78DA8815BF0E06397BE0A0A2720,机器构建后待人工复核
355,标准《水稻纹枯病菌分离及鉴定技术规程》的编号是什么？,该标准的编号为DB2305/T 040-2024。,水稻纹枯病菌分离及鉴定技术规程,DB2305/T 040-2024,事实型问答,GraphRAG-MCP快路径,standard_89a82ee0a28581ec,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2141F78DA8835BF0E06397BE0A0A2720,机器构建后待人工复核
356,标准《寒地水稻基质板育苗技术规程》的编号是什么？,该标准的编号为DB2306/T 129-2020。,寒地水稻基质板育苗技术规程,DB2306/T 129-2020,事实型问答,GraphRAG-MCP快路径,standard_a0870bc7de16d8c3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B8AA3EDFFDD86993E05397BE0A0A682B,机器构建后待人工复核
357,标准《《大庆稻区水稻旱种旱管栽培技术规程》》的编号是什么？,该标准的编号为DB2306/T094-2019。,《大庆稻区水稻旱种旱管栽培技术规程》,DB2306/T094-2019,事实型问答,GraphRAG-MCP快路径,standard_d2473da845f52689,https://std.samr.gov.cn/db/search/stdDBDetailed?id=AE63BCB66DA88602E05397BE0A0A3590,机器构建后待人工复核
358,标准《《盐碱地水稻炭基肥应用技术规程》》的编号是什么？,该标准的编号为DB2306/T111-2019。,《盐碱地水稻炭基肥应用技术规程》,DB2306/T111-2019,事实型问答,GraphRAG-MCP快路径,standard_058fbc0d59a3adff,https://std.samr.gov.cn/db/search/stdDBDetailed?id=AE7426EAC3D0B2FAE05397BE0A0A83AE,机器构建后待人工复核
359,标准《水稻提质增效营养富硒技术规程》的编号是什么？,该标准的编号为DB2308/T 112-2022。,水稻提质增效营养富硒技术规程,DB2308/T 112-2022,事实型问答,GraphRAG-MCP快路径,standard_92b35006e8e81e88,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2C35F16E05397BE0A0A37EA,机器构建后待人工复核
360,标准《水稻秋摆盘育秧技术规程》的编号是什么？,该标准的编号为DB2308/T 113-2022。,水稻秋摆盘育秧技术规程,DB2308/T 113-2022,事实型问答,GraphRAG-MCP快路径,standard_a1d58e814bda6c21,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2C45F16E05397BE0A0A37EA,机器构建后待人工复核
361,标准《寒地水稻叠盘暗室恒温出苗育秧技术规程》的编号是什么？,该标准的编号为DB2308/T 114-2022。,寒地水稻叠盘暗室恒温出苗育秧技术规程,DB2308/T 114-2022,事实型问答,GraphRAG-MCP快路径,standard_6b8143f930964ac4,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2C55F16E05397BE0A0A37EA,机器构建后待人工复核
362,标准《水稻三段式高产技术规程》的编号是什么？,该标准的编号为DB2308/T 121-2022。,水稻三段式高产技术规程,DB2308/T 121-2022,事实型问答,GraphRAG-MCP快路径,standard_c7b1bc294aca194d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2CC5F16E05397BE0A0A37EA,机器构建后待人工复核
363,标准《水稻稻瘟病抗性鉴定技术规程》的编号是什么？,该标准的编号为DB2308/T 125-2022。,水稻稻瘟病抗性鉴定技术规程,DB2308/T 125-2022,事实型问答,GraphRAG-MCP快路径,standard_bae24b734a2f2150,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2D05F16E05397BE0A0A37EA,机器构建后待人工复核
364,标准《早熟、优质、多抗水稻新品种龙粳2401生产技术操作规程》的编号是什么？,该标准的编号为DB2308/T 126-2022。,早熟、优质、多抗水稻新品种龙粳2401生产技术操作规程,DB2308/T 126-2022,事实型问答,GraphRAG-MCP快路径,standard_d41fd136a1ad6887,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2D15F16E05397BE0A0A37EA,机器构建后待人工复核
365,标准《佳木斯市水稻绿色优质栽培技术规程》的编号是什么？,该标准的编号为DB2308/T 127-2022。,佳木斯市水稻绿色优质栽培技术规程,DB2308/T 127-2022,事实型问答,GraphRAG-MCP快路径,standard_a6089c0c40cf64fc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2D25F16E05397BE0A0A37EA,机器构建后待人工复核
366,标准《水稻耐低温肥水调控技术规程》的编号是什么？,该标准的编号为DB2308/T 128-2022。,水稻耐低温肥水调控技术规程,DB2308/T 128-2022,事实型问答,GraphRAG-MCP快路径,standard_3c38fc6295c61b23,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2D35F16E05397BE0A0A37EA,机器构建后待人工复核
367,标准《特优珍珠米水稻新品种龙粳1656生产技术操作规程》的编号是什么？,该标准的编号为DB2308/T 130-2022。,特优珍珠米水稻新品种龙粳1656生产技术操作规程,DB2308/T 130-2022,事实型问答,GraphRAG-MCP快路径,standard_5d4778dd34c1881b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2D55F16E05397BE0A0A37EA,机器构建后待人工复核
368,标准《优质、高产、多抗长粒水稻新品种龙粳1775生产技术操作规程》的编号是什么？,该标准的编号为DB2308/T 131-2022。,优质、高产、多抗长粒水稻新品种龙粳1775生产技术操作规程,DB2308/T 131-2022,事实型问答,GraphRAG-MCP快路径,standard_d6371b4fdb063522,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2D65F16E05397BE0A0A37EA,机器构建后待人工复核
